year,month,month_name,period,revenue,cost_of_sales,op_exp,other_exp,tax,net_profit,sales_orders,icare_members,gross_profit,gross_margin,cost_ratio,op_exp_ratio,other_exp_ratio,net_profit_margin,total_cost_ratio,rev_per_member,rev_per_order,quarter,is_q4,month_sin,month_cos,revenue_lag1,netprofit_lag1,cost_lag1,gmargin_lag1,revenue_roll3,cost_roll3,profit_roll3,revenue_growth,cost_growth
2023,3,Mar,2023-03,86800.0,71436.0,19848.0,3148.0,3141.0,10083.0,242.0,100.0,15364.0,0.17700460829493087,0.8229953917050691,0.22866359447004608,0.036267281105990784,0.11616359447004608,1.087926267281106,868.0,358.6776859504132,1,0,1.0,6.123233995736766e-17,75919.0,251.0,52324.0,0.31079176490733545,77883.33333333333,59547.333333333336,4778.666666666667,0.14332380563495306,0.36526259460285915
2023,4,Apr,2023-04,92605.0,78654.0,18949.0,5153.0,3353.0,8074.0,250.0,117.0,13951.0,0.1506506128178824,0.8493493871821176,0.2046217806813887,0.055644943577560606,0.08718751687273905,1.109616111441067,791.4957264957264,370.42,2,0,0.8660254037844387,-0.4999999999999998,86800.0,10083.0,71436.0,0.17700460829493087,85108.0,67471.33333333333,6136.0,0.06687788018433172,0.10104149168486476
2023,5,May,2023-05,98523.0,79852.0,20182.0,4194.0,3468.0,15410.0,269.0,162.0,18671.0,0.18950904864853893,0.8104909513514611,0.20484556905494147,0.042568740294144515,0.15641017833399307,1.057905260700547,608.1666666666666,366.25650557620816,2,0,0.49999999999999994,-0.8660254037844387,92605.0,8074.0,78654.0,0.1506506128178824,92642.66666666667,76647.33333333333,11189.0,0.06390583661789329,0.015231266051313419
2023,6,Jun,2023-06,88513.0,73233.0,19140.0,5300.0,3203.0,15403.0,234.0,122.0,15280.0,0.17263000915119814,0.8273699908488019,0.21623942245771807,0.05987820998045485,0.1740196355337634,1.1034876232869748,725.516393442623,378.2606837606838,2,0,1.2246467991473532e-16,-1.0,98523.0,15410.0,79852.0,0.18950904864853893,93213.66666666667,77246.33333333333,12962.333333333334,-0.10160064147457959,-0.08289084806892755
2023,7,Jul,2023-07,78057.0,64722.0,17228.0,4334.0,2813.0,9577.0,234.0,102.0,13335.0,0.17083669626042508,0.8291633037395749,0.22071050642479215,0.055523527678491356,0.12269239145752463,1.1053973378428583,765.2647058823529,333.5769230769231,3,0,-0.4999999999999997,-0.8660254037844388,88513.0,15403.0,73233.0,0.17263000915119814,88364.33333333333,72602.33333333333,13463.333333333334,-0.11812954029351619,-0.11621809839826303
2023,8,Aug,2023-08,103860.0,86295.0,18023.0,5183.0,3792.0,14668.0,292.0,146.0,17565.0,0.16912189485846332,0.8308781051415367,0.1735316772578471,0.04990371654149817,0.14122857693048335,1.054313498940882,711.3698630136986,355.6849315068493,3,0,-0.8660254037844384,-0.5000000000000004,78057.0,9577.0,64722.0,0.17083669626042508,90143.33333333333,74750.0,13216.0,0.3305661247549867,0.33331788263650686
2023,9,Sep,2023-09,81852.0,81244.5,17189.0,7299.0,3835.0,16816.0,255.0,108.0,607.5,0.0074219322679958954,0.9925780677320041,0.2100009773737966,0.0891731417680692,0.20544397204710943,1.29175218687387,757.8888888888889,320.98823529411766,3,0,-1.0,-1.8369701987210297e-16,103860.0,14668.0,86295.0,0.16912189485846332,87923.0,77420.5,13687.0,-0.21190063547082616,-0.05852598644185647
2023,10,Oct,2023-10,106441.0,87009.0,16754.0,3738.0,1815.0,16219.0,281.0,129.0,19432.0,0.18256123110455558,0.8174387688954444,0.15740175308386806,0.03511804661737488,0.1523754944053513,1.0099585685966874,825.1240310077519,378.79359430604984,4,1,-0.8660254037844386,0.5000000000000001,81852.0,16816.0,81244.5,0.0074219322679958954,97384.33333333333,84849.5,15901.0,0.30040805356008415,0.07095249524583203
2023,11,Nov,2023-11,89448.0,74543.0,17547.0,3931.0,3226.0,14166.0,241.0,97.0,14905.0,0.16663312762722476,0.8333668723727753,0.19616984169573384,0.043947321348716574,0.15837134424470084,1.0734840354172257,922.1443298969073,371.1535269709544,4,1,-0.5000000000000004,0.8660254037844384,106441.0,16219.0,87009.0,0.18256123110455558,92580.33333333333,80932.16666666667,15733.666666666666,-0.15964712845614004,-0.1432725350251124
2023,12,Dec,2023-12,98155.0,86454.0,21176.0,6961.0,3526.0,2019.0,231.0,91.0,11701.0,0.11920941368244103,0.8807905863175589,0.21574041057511079,0.07091844531608171,0.020569507411746728,1.1674494422087516,1078.6263736263736,424.9134199134199,4,1,-2.4492935982947064e-16,1.0,89448.0,14166.0,74543.0,0.16663312762722476,98014.66666666667,82668.66666666667,10801.333333333334,0.09734147214023792,0.1597869685953075
2024,1,Jan,2024-01,85705.0,79043.0,20687.0,6083.0,3302.0,6462.0,234.0,89.0,6662.0,0.07773175427337961,0.9222682457266204,0.24137448223557553,0.07097602240242692,0.07539816813488127,1.2346187503646229,962.9775280898876,366.2606837606838,1,0,0.49999999999999994,0.8660254037844387,98155.0,2019.0,86454.0,0.11920941368244103,91102.66666666667,80013.33333333333,7549.0,-0.12684020172176658,-0.08572188678372317
2024,2,Feb,2024-02,87129.0,63921.0,17549.0,8943.0,2572.0,5659.0,227.0,88.0,23208.0,0.2663636676651861,0.7336363323348138,0.20141399534024262,0.10264091175154082,0.06494967232494347,1.0376912394265974,990.1022727272727,383.82819383259914,1,0,0.8660254037844386,0.5000000000000001,85705.0,6462.0,79043.0,0.07773175427337961,90329.66666666667,76472.66666666667,4713.333333333333,0.0166151333061082,-0.19131358880609284
2024,3,Mar,2024-03,111978.0,80009.0,20853.0,4636.0,2797.0,14881.0,248.0,98.0,31969.0,0.28549357909589385,0.7145064209041062,0.18622407972994695,0.04140098948007644,0.13289217524870955,0.9421314901141296,1142.6326530612246,451.5241935483871,1,0,1.0,6.123233995736766e-17,87129.0,5659.0,63921.0,0.2663636676651861,94937.33333333333,74324.33333333333,9000.666666666666,0.28519781014358014,0.25168567450446644
2024,4,Apr,2024-04,102472.0,78669.0,25984.0,9748.0,131.0,7897.0,274.0,102.0,23803.0,0.23228784448434694,0.7677121555156531,0.25357170739323914,0.09512842532594269,0.07706495432898743,1.1164122882348348,1004.6274509803922,373.985401459854,2,0,0.8660254037844387,-0.4999999999999998,111978.0,14881.0,80009.0,0.28549357909589385,100526.33333333333,74199.66666666667,9479.0,-0.08489167515047602,-0.016748115836968336
2024,5,May,2024-05,105678.0,81395.0,20571.0,1645.0,4279.0,17419.0,271.0,118.0,24283.0,0.2297829254906414,0.7702170745093586,0.19465735536251633,0.0155661537879218,0.16483090141751358,0.9804405836597967,895.5762711864406,389.95571955719555,2,0,0.49999999999999994,-0.8660254037844387,102472.0,7897.0,78669.0,0.23228784448434694,106709.33333333333,80024.33333333333,13399.0,0.03128659536263556,0.03465151457372029
2024,6,Jun,2024-06,103599.0,79260.0,21552.0,3203.0,5389.0,8508.0,228.0,94.0,24339.0,0.23493470014189327,0.7650652998581068,0.20803289607042538,0.03091728684639813,0.08212434482958329,1.0040154827749304,1102.1170212765958,454.38157894736844,2,0,1.2246467991473532e-16,-1.0,105678.0,17419.0,81395.0,0.2297829254906414,103916.33333333333,79774.66666666667,11274.666666666666,-0.019672968829841597,-0.02623011241476747
2024,7,Jul,2024-07,85962.0,66453.0,25328.0,6645.0,2295.0,9760.0,213.0,71.0,19509.0,0.22694911705172052,0.7730508829482795,0.2946418184779321,0.07730159838067983,0.11353854028524232,1.1449942998068914,1210.7323943661972,403.5774647887324,3,0,-0.4999999999999997,-0.8660254037844388,103599.0,8508.0,79260.0,0.23493470014189327,98413.0,75702.66666666667,11895.666666666666,-0.17024295601308892,-0.16158213474640426
2024,8,Aug,2024-08,106784.0,81094.0,21076.0,3776.0,3748.0,16408.0,242.0,100.0,25690.0,0.2405791129757267,0.7594208870242734,0.197370392568175,0.03536110278693437,0.15365597842373388,0.9921523823793826,1067.84,441.25619834710744,3,0,-0.8660254037844384,-0.5000000000000004,85962.0,9760.0,66453.0,0.22694911705172052,98781.66666666667,75602.33333333333,11558.666666666666,0.2422233079732905,0.22032112921914737
2024,9,Sep,2024-09,84752.0,64415.0,32882.0,474.0,3835.0,13738.0,215.0,76.0,20337.0,0.23995893902208798,0.760041060977912,0.387979044742307,0.005592788370775911,0.1620964696998301,1.1536128940909949,1115.157894736842,394.1953488372093,3,0,-1.0,-1.8369701987210297e-16,106784.0,16408.0,81094.0,0.2405791129757267,92499.33333333333,70654.0,13302.0,-0.20632304465088402,-0.20567489579993592
2024,10,Oct,2024-10,128922.0,87009.0,19777.0,13456.0,4436.0,31679.0,285.0,85.0,41913.0,0.3251035509843161,0.6748964490156839,0.1534028327205597,0.10437318688819597,0.24572221963667953,0.9326724686244395,1516.729411764706,452.3578947368421,4,1,-0.8660254037844386,0.5000000000000001,84752.0,13738.0,64415.0,0.23995893902208798,106819.33333333333,77506.0,20608.333333333332,0.5211676420615443,0.35075681130171543
2024,11,Nov,2024-11,82175.0,81533.0,22310.0,15494.0,4558.0,13295.0,194.0,77.0,642.0,0.007812595071493763,0.9921874049285062,0.27149376331000913,0.18854882871919684,0.16178886522665045,1.4522299969577122,1067.2077922077922,423.58247422680415,4,1,-0.5000000000000004,0.8660254037844384,128922.0,31679.0,87009.0,0.3251035509843161,98616.33333333333,77652.33333333333,19570.666666666668,-0.36259909092319387,-0.06293601811306881
2024,12,Dec,2024-12,130773.0,93955.0,20618.0,33857.999999999985,3903.0,25938.0,221.0,78.0,36818.0,0.28154129675085837,0.7184587032491416,0.1576625144334075,0.25890665504347216,0.19834369479938518,1.1350278727260215,1676.576923076923,591.7330316742082,4,1,-2.4492935982947064e-16,1.0,82175.0,13295.0,81533.0,0.007812595071493763,113956.66666666667,87499.0,23637.333333333332,0.5913964101003955,0.15235548796192955
2025,1,Jan,2025-01,114833.0,98239.0,12637.0,31790.0,2338.0,14045.0,220.0,71.0,16594.0,0.1445054992902737,0.8554945007097263,0.11004676356099727,0.27683679778460896,0.12230804733830868,1.2423780620553326,1617.3661971830986,521.9681818181818,1,0,0.49999999999999994,0.8660254037844387,130773.0,25938.0,93955.0,0.28154129675085837,109260.33333333333,91242.33333333333,17759.333333333332,-0.12189060432963994,0.045596296099196465
2025,2,Feb,2025-02,117813.0,88951.0,3908.0,24755.0,409.0,12666.0,243.0,74.0,28862.0,0.2449814536596131,0.7550185463403869,0.03317121200546629,0.21012112415438025,0.10750935805046981,0.9983108825002334,1592.0675675675675,484.82716049382714,1,0,0.8660254037844386,0.5000000000000001,114833.0,14045.0,98239.0,0.1445054992902737,121139.66666666667,93715.0,17549.666666666668,0.02595072844913915,-0.09454493632874927
2025,3,Mar,2025-03,129930.0,96908.0,5549.0,22594.0,4313.0,35062.0,300.0,112.0,33022.0,0.2541522358192873,0.7458477641807127,0.04270761179096436,0.1738936350342492,0.26985299776802896,0.9624490110059263,1160.0892857142858,433.1,1,0,1.0,6.123233995736766e-17,117813.0,12666.0,88951.0,0.2449814536596131,120858.66666666667,94699.33333333333,20591.0,0.102849430877747,0.08945374419624286
2025,4,Apr,2025-04,114438.0,87104.0,2634.0,29418.0,426.0,13408.0,278.0,67.0,27334.0,0.23885422674286513,0.7611457732571348,0.023016830073926492,0.25706496093954806,0.11716387913105787,1.0412275642706095,1708.0298507462687,411.6474820143885,2,0,0.8660254037844387,-0.4999999999999998,129930.0,35062.0,96908.0,0.2541522358192873,120727.0,90987.66666666667,20378.666666666668,-0.11923343338720849,-0.10116811821521443
2025,5,May,2025-05,115132.0,85518.0,4577.0,15029.0,4279.0,25444.0,272.0,54.0,29614.0,0.2572178021748949,0.7427821978251051,0.03975436889830803,0.13053712260709446,0.2209985060626064,0.9130736893305076,2132.074074074074,423.27941176470586,2,0,0.49999999999999994,-0.8660254037844387,114438.0,13408.0,87104.0,0.23885422674286513,119833.33333333333,89843.33333333333,24638.0,0.006064419161467383,-0.01820811903012487
2025,6,Jun,2025-06,127851.0,97577.0,5514.0,30781.0,4748.0,25096.0,285.0,112.0,30274.0,0.23679126483171817,0.7632087351682818,0.0431283290705587,0.24075681848401656,0.1962909949863513,1.047093882722857,1141.5267857142858,448.6,2,0,1.2246467991473532e-16,-1.0,115132.0,25444.0,85518.0,0.2572178021748949,119140.33333333333,90066.33333333333,21316.0,0.11047319598374039,0.14101124909375806
2025,7,Jul,2025-07,114096.0,87668.0,8830.0,30663.0,4314.0,12524.0,269.0,79.0,26428.0,0.23162950497826393,0.768370495021736,0.0773909690085542,0.2687473706352545,0.10976721357453373,1.1145088346655447,1444.253164556962,424.14869888475835,3,0,-0.4999999999999997,-0.8660254037844388,127851.0,25096.0,97577.0,0.23679126483171817,119026.33333333333,90254.33333333333,21021.333333333332,-0.10758617453129038,-0.10155057031882508
